PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT
[CH2-]C[CH2+]	100934484	CUJPFPXNDSIBPG-SMZGMGDZSA-N	C3H6	44.093
C=[CH+]	100946002	QLLSNXSJBAXPLZ-VMNATFBRSA-N	C2H3+	28.052
C1=CC=C(C=C1)C=O	100957051	HUMNYLRZRPPJDN-BNUYUSEDSA-N	C7H6O	113.07
C=C[C-]=C[CH2+]	100959930	GCWFUXROKVKSNZ-UHFFFAOYSA-N	C5H6	66.103
C=C[CH2]	100972070	RMRFFCXPLWYOOY-MICDWDOJSA-N	C3H5	42.079
C=C[CH2]	100972072	RMRFFCXPLWYOOY-DICFDUPASA-N	C3H5	43.085
C[C]=O	100982562	TUCNEACPLKLKNU-FIBGUPNXSA-N	C2H3O	46.063
C1=CC=[C+]C=C1	100999562	UEDBHEFYEKZZBA-PAEVPXJKSA-N	C6H5+	87.146
C1=C[C+]C=C=C1	101013866	OSVWROCUPDTJLR-UHFFFAOYSA-N	C6H4+	76.098
[CH]=[CH+]	101022377	GWUDYHMQOUXMQT-UHFFFAOYSA-N	C2H2+	26.038
C[C-]=C[CH2+]	101026883	SFJKIXMNPJIHDL-UHFFFAOYSA-N	C4H6	54.092
C=[C+]C=[CH-]	101030591	WXBUKAPYXQZTGS-UHFFFAOYSA-N	C4H4	52.076
C=CC=[C]	101030592	DCMPYTNLLIRDOS-UHFFFAOYSA-N	C4H4	52.076
C=C([CH2])[CH2+]	101033932	PXYAGXWCYSITLO-UHFFFAOYSA-N	C4H6+	54.092
CC=C	101034833	QQONPFPTGQHPMA-DNJMCIJBSA-N	C3H6	44.055
[CH3-]	101040783	LGRLWUINFJPLSH-FIBGUPNXSA-N	CH3-	18.053
C[C]=CC=O	101044023	UNSOSNHODWMVIO-UHFFFAOYSA-N	C4H5O	69.083
[C]=CC=O	101053868	CKQCIJZRROCPDB-UHFFFAOYSA-N	C3H2O	54.048
CC(=[C])C=O	101053869	KRUGBWKWYGYYAQ-UHFFFAOYSA-N	C4H4O	68.075
CC=C[CH]	101065965	PVXAYGJAMOBSON-ONEGZZNKSA-N	C4H6	54.092
C=C	101089398	VGGSQFUCUMXWEO-URIFWVMJSA-N	C2H4	34.063
C=[C]	101102475	SNVLJLYUUXKWOJ-DICFDUPASA-N	C2H2	28.05
C1=CC=[C]C=C1	101103904	CIUQDSCDWFSTQR-QFFDRWTDSA-N	C6H5	81.13
C1=CC=[C]C=C1	101103905	CIUQDSCDWFSTQR-QYKNYGDISA-N	C6H5	78.112
C1=CC=[C]C=C1	101103906	CIUQDSCDWFSTQR-MICDWDOJSA-N	C6H5	78.112
C1=CC=[C]C=C1	101103907	CIUQDSCDWFSTQR-VMNATFBRSA-N	C6H5	78.112
CC	101105060	OTMSDBZUPAUEDD-APAIHEESSA-N	C2H6	33.088
C=C=[C+]C=O	101110330	PQKXFNBESSVKMZ-UHFFFAOYSA-N	C4H3O+	67.067
C=C=[C-]C=O	101110332	MRVRKDCOOOCPKB-UHFFFAOYSA-N	C4H3O-	67.067
CC=[OH+]	101111157	IKHGUXGNUITLKF-FIBGUPNXSA-O	C2H5O+	48.079
CC=[OH+]	101111158	IKHGUXGNUITLKF-DYCDLGHISA-O	C2H5O+	46.067
[CH3+]	101111159	JUHDUIDUEUEQND-DICFDUPASA-N	CH3+	17.047
C=CC=C	101128257	KAKZBPTYRLMSJV-SUFDKLKHSA-N	C4H6	64.098
CC=C	101164626	QQONPFPTGQHPMA-HJQITGDSSA-N	C3H6	44.079
C=[CH]	101186337	ORGHESHFQPYLAO-APAIHEESSA-N	C2H3	30.064
[CH3+]	101192347	JUHDUIDUEUEQND-OUBTZVSYSA-N	CH3+	16.027
[CH2+]C=O	101202070	UKHGZNUEZHOQQT-DICFDUPASA-N	C2H3O+	45.057
C1=[C-]C=C=C[C+]1	101207939	LFKSDVRNQMBEJT-UHFFFAOYSA-N	C6H3	75.09
[CH+]=C=[C-]	101232590	WWDRUPNDOSDMRD-UHFFFAOYSA-N	C3H	37.041
[CH2][CH2+]	101333579	RHAJFDHSLMUKSD-UHFFFAOYSA-N	C2H4+	28.054
[CH2][CH2+]	101333580	RHAJFDHSLMUKSD-LNLMKGTHSA-N	C2H4+	32.078
C[CH2+]	101333587	YQHHCMVUMULAPZ-LNLMKGTHSA-N	C2H5+	33.086
C=C[CH2]	101340326	RMRFFCXPLWYOOY-OUBTZVSYSA-N	C3H5	42.065
C1=CC=C=C=C1	101347749	KLYCPFXDDDMZNQ-HOSYLAQJSA-N	C6H4	77.09
C1=CC=C=C=C1	101347750	KLYCPFXDDDMZNQ-LBPDFUHNSA-N	C6H4	77.09
C1=CC=C=C=C1	101347751	KLYCPFXDDDMZNQ-OUBTZVSYSA-N	C6H4	77.09
[CH+]=C=[C-]	101371727	WWDRUPNDOSDMRD-MICDWDOJSA-N	C3H	38.047
[CH+]=C=[C-]	101371728	WWDRUPNDOSDMRD-OUBTZVSYSA-N	C3H	38.033
[CH+]=C=[C-]	101371730	WWDRUPNDOSDMRD-VQEHIDDOSA-N	C3H	38.033
[CH+]=C=[C-]	101371732	WWDRUPNDOSDMRD-LBPDFUHNSA-N	C3H	38.033
C1=CC=[C-]C=C1	101380237	BJISZDCMBMQNIY-RALIUCGRSA-N	C6H5-	82.137
C=[CH+]	101384170	QLLSNXSJBAXPLZ-QDNHWIQGSA-N	C2H3+	29.058
CC	101389038	OTMSDBZUPAUEDD-VVKOMZTBSA-N	C2H6	32.068
CC	101389039	OTMSDBZUPAUEDD-UBIWUTSMSA-N	C2H6	32.068
[CH2-]C[CH2+]	101392861	CUJPFPXNDSIBPG-WFVSFCRTSA-N	C3H6	43.087
[CH2-]C[CH2+]	101392862	CUJPFPXNDSIBPG-MICDWDOJSA-N	C3H6	43.087
