PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHI	PUBCHEM_MOLECULAR_WEIGHT
CCOCCCCOC(=O)C1=CC=CC=C1O	71368005	InChI=1S/C13H18O4/c1-2-16-9-5-6-10-17-13(15)11-7-3-4-8-12(11)14/h3-4,7-8,14H,2,5-6,9-10H2,1H3	238.283
CC(=O)OC(=O)C1=CC=CC=C1OC(=O)CCCCCCC(=O)OC2=CC=CC=C2C(=O)OC(=O)C	71360345	InChI=1S/C26H26O10/c1-17(27)33-25(31)19-11-7-9-13-21(19)35-23(29)15-5-3-4-6-16-24(30)36-22-14-10-8-12-20(22)26(32)34-18(2)28/h7-14H,3-6,15-16H2,1-2H3	498.484
CC(=O)OC1=CC=CC=C1C(=O)OCCCBr	71357294	InChI=1S/C12H13BrO4/c1-9(14)17-11-6-3-2-5-10(11)12(15)16-8-4-7-13/h2-3,5-6H,4,7-8H2,1H3	301.136
C1C(CO1)(COC2=CC=CC=C2C(=O)O)COC3=CC=CC=C3C(=O)O	71347229	InChI=1S/C19H18O7/c20-17(21)13-5-1-3-7-15(13)25-11-19(9-24-10-19)12-26-16-8-4-2-6-14(16)18(22)23/h1-8H,9-12H2,(H,20,21)(H,22,23)	358.346
CCCOC(=O)OC1=CC=CC=C1C(=O)OC	71346733	InChI=1S/C12H14O5/c1-3-8-16-12(14)17-10-7-5-4-6-9(10)11(13)15-2/h4-7H,3,8H2,1-2H3	238.239
CCOCCOC(=O)C1=CC=CC=C1OCC	71345806	InChI=1S/C13H18O4/c1-3-15-9-10-17-13(14)11-7-5-6-8-12(11)16-4-2/h5-8H,3-4,9-10H2,1-2H3	238.283
C1=CC=C(C=C1)C(C(=O)[O-])C(=O)OC2=CC=CC=C2C(=O)O	71334855	InChI=1S/C16H12O6/c17-14(18)11-8-4-5-9-12(11)22-16(21)13(15(19)20)10-6-2-1-3-7-10/h1-9,13H,(H,17,18)(H,19,20)/p-1	299.258
CCCCCCCCC1=CC(=C(C=C1)OC(=O)C)C(=O)O	71331114	InChI=1S/C17H24O4/c1-3-4-5-6-7-8-9-14-10-11-16(21-13(2)18)15(12-14)17(19)20/h10-12H,3-9H2,1-2H3,(H,19,20)	292.375
CC(C(C)OC(=O)C1=CC=CC=C1OC(=O)C)O	71330699	InChI=1S/C13H16O5/c1-8(14)9(2)17-13(16)11-6-4-5-7-12(11)18-10(3)15/h4-9,14H,1-3H3	252.266
CC(=O)CC(=O)OC1=CC=CC(=C1)C(=O)O	71330427	InChI=1S/C11H10O5/c1-7(12)5-10(13)16-9-4-2-3-8(6-9)11(14)15/h2-4,6H,5H2,1H3,(H,14,15)	222.196
CCN(CC)CC.CC(=O)OC1=CC=CC=C1C(=O)O	71329530	InChI=1S/C9H8O4.C6H15N/c1-6(10)13-8-5-3-2-4-7(8)9(11)12;1-4-7(5-2)6-3/h2-5H,1H3,(H,11,12);4-6H2,1-3H3	281.352
C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)Cl)O	71327429	InChI=1S/C14H9ClO4/c15-13(17)10-6-2-4-8-12(10)19-14(18)9-5-1-3-7-11(9)16/h1-8,16H	276.672
CC(C)(C)OOC(=O)C1=CC=CC=C1OC2=CC=CC=C2	71321210	InChI=1S/C17H18O4/c1-17(2,3)21-20-16(18)14-11-7-8-12-15(14)19-13-9-5-4-6-10-13/h4-12H,1-3H3	286.327
CCOC(=O)C1=CC=CC=C1OC(=O)C(C)(C)C	71314327	InChI=1S/C14H18O4/c1-5-17-12(15)10-8-6-7-9-11(10)18-13(16)14(2,3)4/h6-9H,5H2,1-4H3	250.294
CC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2OC(=O)C	71312764	InChI=1S/C16H14O4/c1-11-7-9-13(10-8-11)20-16(18)14-5-3-4-6-15(14)19-12(2)17/h3-10H,1-2H3	270.284
C1CCC(=O)C(C1)OC2=CC=CC=C2C(=O)O	71161923	InChI=1S/C13H14O4/c14-10-6-2-4-8-12(10)17-11-7-3-1-5-9(11)13(15)16/h1,3,5,7,12H,2,4,6,8H2,(H,15,16)	234.251
COC1=CC=CC=C1C(=O)O.COC(=O)C1=CC=CC=C1O	71116305	InChI=1S/2C8H8O3/c1-11-7-5-3-2-4-6(7)8(9)10;1-11-8(10)6-4-2-3-5-7(6)9/h2-5H,1H3,(H,9,10);2-5,9H,1H3	304.298
CCC=CCCOC(=O)C1=CC=CC=C1OC	70894735	InChI=1S/C14H18O3/c1-3-4-5-8-11-17-14(15)12-9-6-7-10-13(12)16-2/h4-7,9-10H,3,8,11H2,1-2H3/b5-4-	234.295
CC(=O)OC1=CC=CC=C1C(=O)O.C(=N)(N)N	70580261	InChI=1S/C9H8O4.CH5N3/c1-6(10)13-8-5-3-2-4-7(8)9(11)12;2-1(3)4/h2-5H,1H3,(H,11,12);(H5,2,3,4)	239.231
CC(C)O.CC(C)O.C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O	70541718	InChI=1S/C13H10O3.2C3H8O/c14-12-9-5-4-8-11(12)13(15)16-10-6-2-1-3-7-10;2*1-3(2)4/h1-9,14H;2*3-4H,1-2H3	334.412
C1=CC=C(C=C1)COC2=CC=CC=C2C(=O)OC3=CC=CC=C3C(=O)O	70526390	InChI=1S/C21H16O5/c22-20(23)16-10-4-7-13-19(16)26-21(24)17-11-5-6-12-18(17)25-14-15-8-2-1-3-9-15/h1-13H,14H2,(H,22,23)	348.354
CCCCCCCCCCCCCCCCOC1=CC=CC=C1C(=O)O.[Ca]	70520262	InChI=1S/C23H38O3.Ca/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17-20-26-22-19-16-15-18-21(22)23(24)25;/h15-16,18-19H,2-14,17,20H2,1H3,(H,24,25);	402.632
CCCCCCCCCCCCOC1=CC=CC=C1C(=O)O.[Ca]	70519520	InChI=1S/C19H30O3.Ca/c1-2-3-4-5-6-7-8-9-10-13-16-22-18-15-12-11-14-17(18)19(20)21;/h11-12,14-15H,2-10,13,16H2,1H3,(H,20,21);	346.524
CC(=O)OC1=CC=CC(=C1OC(=O)C)C(=O)O.Cl	70518805	InChI=1S/C11H10O6.ClH/c1-6(12)16-9-5-3-4-8(11(14)15)10(9)17-7(2)13;/h3-5H,1-2H3,(H,14,15);1H	274.653
CC(=O)CC(=O)OC1=CC=CC=C1C(=O)O	70505765	InChI=1S/C11H10O5/c1-7(12)6-10(13)16-9-5-3-2-4-8(9)11(14)15/h2-5H,6H2,1H3,(H,14,15)	222.196
CCC(=O)C1=CC=CC=C1OC(=O)C=C	70452095	InChI=1S/C12H12O3/c1-3-10(13)9-7-5-6-8-11(9)15-12(14)4-2/h4-8H,2-3H2,1H3	204.225
C1CC=CCCC(C1)OC2=CC=CC=C2C(=O)O	70445604	InChI=1S/C15H18O3/c16-15(17)13-10-6-7-11-14(13)18-12-8-4-2-1-3-5-9-12/h1-2,6-7,10-12H,3-5,8-9H2,(H,16,17)/b2-1-	246.306
C1CCCC(CCC1)OC2=CC=CC=C2C(=O)O	70444839	InChI=1S/C15H20O3/c16-15(17)13-10-6-7-11-14(13)18-12-8-4-2-1-3-5-9-12/h6-7,10-12H,1-5,8-9H2,(H,16,17)	248.322
CCC(CC)COC1=CC=CC=C1C(=O)O	70443071	InChI=1S/C13H18O3/c1-3-10(4-2)9-16-12-8-6-5-7-11(12)13(14)15/h5-8,10H,3-4,9H2,1-2H3,(H,14,15)	222.284
COCCCOC1=C(C=CC(=C1)CO)C(=O)OC	70333789	InChI=1S/C13H18O5/c1-16-6-3-7-18-12-8-10(9-14)4-5-11(12)13(15)17-2/h4-5,8,14H,3,6-7,9H2,1-2H3	254.282
COCCCOC1=C(C=CC(=C1)CO)C(=O)O	70333502	InChI=1S/C12H16O5/c1-16-5-2-6-17-11-7-9(8-13)3-4-10(11)12(14)15/h3-4,7,13H,2,5-6,8H2,1H3,(H,14,15)	240.255
C1=CC(=CC=C1OC2=C(C=C(C=C2)I)C(=O)O)F	70332778	InChI=1S/C13H8FIO3/c14-8-1-4-10(5-2-8)18-12-6-3-9(15)7-11(12)13(16)17/h1-7H,(H,16,17)	358.107
C=O.C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O	70193884	InChI=1S/C13H10O3.CH2O/c14-12-9-5-4-8-11(12)13(15)16-10-6-2-1-3-7-10;1-2/h1-9,14H;1H2	244.246
CC(C)(C)OC1=C(C=CC=C1C(=O)O)C=C	70146497	InChI=1S/C13H16O3/c1-5-9-7-6-8-10(12(14)15)11(9)16-13(2,3)4/h5-8H,1H2,2-4H3,(H,14,15)	220.268
CC(C)(C)OC1=CC=CC(=C1C(=O)O)C=C	70146179	InChI=1S/C13H16O3/c1-5-9-7-6-8-10(11(9)12(14)15)16-13(2,3)4/h5-8H,1H2,2-4H3,(H,14,15)	220.268
CC(C)(C)OC(=O)C1=CC=CC=C1OC(=O)C2=CC=CC=C2O	70078440	InChI=1S/C18H18O5/c1-18(2,3)23-17(21)13-9-5-7-11-15(13)22-16(20)12-8-4-6-10-14(12)19/h4-11,19H,1-3H3	314.337
COCC(=O)OC1=CC=CC=C1C(=O)O	70011822	InChI=1S/C10H10O5/c1-14-6-9(11)15-8-5-3-2-4-7(8)10(12)13/h2-5H,6H2,1H3,(H,12,13)	210.185
CCOC1=C(C=CC=C1C(=O)O)C#CC	69988236	InChI=1S/C12H12O3/c1-3-6-9-7-5-8-10(12(13)14)11(9)15-4-2/h5,7-8H,4H2,1-2H3,(H,13,14)	204.225
CC1=CC=CC(=C1OCCCCOC)C(=O)O	69944768	InChI=1S/C13H18O4/c1-10-6-5-7-11(13(14)15)12(10)17-9-4-3-8-16-2/h5-7H,3-4,8-9H2,1-2H3,(H,14,15)	238.283
CC(C)(C)OC(=O)C1=CC=CC=C1O.Br	69916635	InChI=1S/C11H14O3.BrH/c1-11(2,3)14-10(13)8-6-4-5-7-9(8)12;/h4-7,12H,1-3H3;1H	275.142
COC1=CC=CC=C1COCCCOC2=CC=CC=C2C(=O)OC	69908197	InChI=1S/C19H22O5/c1-21-17-10-5-3-8-15(17)14-23-12-7-13-24-18-11-6-4-9-16(18)19(20)22-2/h3-6,8-11H,7,12-14H2,1-2H3	330.38
COC(=O)C1=CC=CC=C1OC2=CC=CC=C2.Cl	69867277	InChI=1S/C14H12O3.ClH/c1-16-14(15)12-9-5-6-10-13(12)17-11-7-3-2-4-8-11;/h2-10H,1H3;1H	264.705
CCCCC(=O)OC1=CC=CC(=C1C(=O)O)O	69867161	InChI=1S/C12H14O5/c1-2-3-7-10(14)17-9-6-4-5-8(13)11(9)12(15)16/h4-6,13H,2-3,7H2,1H3,(H,15,16)	238.239
C1CCC(=CC1)OC2=CC=CC=C2C(=O)O	69864898	InChI=1S/C13H14O3/c14-13(15)11-8-4-5-9-12(11)16-10-6-2-1-3-7-10/h4-6,8-9H,1-3,7H2,(H,14,15)	218.252
C1C=CC=C2C1=COC(=O)C3=CC=CC=C3O2	69726197	InChI=1S/C14H10O3/c15-14-11-6-2-4-8-13(11)17-12-7-3-1-5-10(12)9-16-14/h1-4,6-9H,5H2/b10-9-	226.231
C1C=CC2=C(O1)C(=CC=C2)C(=O)O.Cl	69719091	InChI=1S/C10H8O3.ClH/c11-10(12)8-5-1-3-7-4-2-6-13-9(7)8;/h1-5H,6H2,(H,11,12);1H	212.629
CC(C)CCOC1=CC=CC=C1C(=O)O.CC(C)CCOC(=O)C1=CC=CC=C1O	69718881	InChI=1S/2C12H16O3/c1-9(2)7-8-15-11-6-4-3-5-10(11)12(13)14;1-9(2)7-8-15-12(14)10-5-3-4-6-11(10)13/h3-6,9H,7-8H2,1-2H3,(H,13,14);3-6,9,13H,7-8H2,1-2H3	416.514
C1=CC=C(C=C1)OCOC(=O)OC2=CC=CC=C2C(=O)O	69579790	InChI=1S/C15H12O6/c16-14(17)12-8-4-5-9-13(12)21-15(18)20-10-19-11-6-2-1-3-7-11/h1-9H,10H2,(H,16,17)	288.255
C1=CC=C(C=C1)C(=O)OC=C(COC2=CC=CC=C2)C(=O)O	69570576	InChI=1S/C17H14O5/c18-16(19)14(11-21-15-9-5-2-6-10-15)12-22-17(20)13-7-3-1-4-8-13/h1-10,12H,11H2,(H,18,19)	298.294
COC(=O)C1=C(C=CC(=C1)F)OC(=O)C2=CC=CC=C2	69534369	InChI=1S/C15H11FO4/c1-19-15(18)12-9-11(16)7-8-13(12)20-14(17)10-5-3-2-4-6-10/h2-9H,1H3	274.247
CCCCCCCCOC(=O)C1=CC=CC=C1O.CCCCC(CC)COC1=CC=CC=C1C(=O)O	69526572	InChI=1S/2C15H22O3/c1-3-5-8-12(4-2)11-18-14-10-7-6-9-13(14)15(16)17;1-2-3-4-5-6-9-12-18-15(17)13-10-7-8-11-14(13)16/h6-7,9-10,12H,3-5,8,11H2,1-2H3,(H,16,17);7-8,10-11,16H,2-6,9,12H2,1H3	500.676
C1=CC=C(C(=C1)C(OC2=CC=CC=C2C(=O)O)F)F	69398721	InChI=1S/C14H10F2O3/c15-11-7-3-1-5-9(11)13(16)19-12-8-4-2-6-10(12)14(17)18/h1-8,13H,(H,17,18)	264.228
COC(OCC=C)OC1=CC=CC=C1C(=O)O	69368784	InChI=1S/C12H14O5/c1-3-8-16-12(15-2)17-10-7-5-4-6-9(10)11(13)14/h3-7,12H,1,8H2,2H3,(H,13,14)/t12-/m0/s1	238.239
C1CC1C(CF)OC2=CC=CC=C2C(=O)O	69349318	InChI=1S/C12H13FO3/c13-7-11(8-5-6-8)16-10-4-2-1-3-9(10)12(14)15/h1-4,8,11H,5-7H2,(H,14,15)	224.231
CCC1=CC=CC(=C1OC(=O)C)C(=O)O	69342391	InChI=1S/C11H12O4/c1-3-8-5-4-6-9(11(13)14)10(8)15-7(2)12/h4-6H,3H2,1-2H3,(H,13,14)	208.213
CC(C)CCOC1=CC=CC=C1C(=O)O.CC(C)CCOC1=CC=CC=C1C(=O)O	69340606	InChI=1S/2C12H16O3/c2*1-9(2)7-8-15-11-6-4-3-5-10(11)12(13)14/h2*3-6,9H,7-8H2,1-2H3,(H,13,14)	416.514
CCC(CC)CCCOC1=CC=CC=C1C(=O)O	69335995	InChI=1S/C15H22O3/c1-3-12(4-2)8-7-11-18-14-10-6-5-9-13(14)15(16)17/h5-6,9-10,12H,3-4,7-8,11H2,1-2H3,(H,16,17)	250.338
CCCC(=CCOC1=CC=CC=C1C(=O)O)C	69332453	InChI=1S/C14H18O3/c1-3-6-11(2)9-10-17-13-8-5-4-7-12(13)14(15)16/h4-5,7-9H,3,6,10H2,1-2H3,(H,15,16)	234.295
CCC=CCCCC(=O)O.CCC=CCCOC1=CC=CC=C1C(=O)O	69296018	InChI=1S/C13H16O3.C8H14O2/c1-2-3-4-7-10-16-12-9-6-5-8-11(12)13(14)15;1-2-3-4-5-6-7-8(9)10/h3-6,8-9H,2,7,10H2,1H3,(H,14,15);3-4H,2,5-7H2,1H3,(H,9,10)/b2*4-3-	362.466
CCCCC1=CC(=CC=C1)OC2=CC=CC=C2C(=O)O	69290810	InChI=1S/C17H18O3/c1-2-3-7-13-8-6-9-14(12-13)20-16-11-5-4-10-15(16)17(18)19/h4-6,8-12H,2-3,7H2,1H3,(H,18,19)	270.328
COC(=O)CCOC1=CC=CC=C1C(=O)OC	69252057	InChI=1S/C12H14O5/c1-15-11(13)7-8-17-10-6-4-3-5-9(10)12(14)16-2/h3-6H,7-8H2,1-2H3	238.239
CCCCCCCOC(=O)C1=CC=CC=C1OC(=O)C	69165747	InChI=1S/C16H22O4/c1-3-4-5-6-9-12-19-16(18)14-10-7-8-11-15(14)20-13(2)17/h7-8,10-11H,3-6,9,12H2,1-2H3	278.348
CCC(C)OC(=O)C1=CC=CC=C1OC(=O)C	69165300	InChI=1S/C13H16O4/c1-4-9(2)16-13(15)11-7-5-6-8-12(11)17-10(3)14/h5-9H,4H2,1-3H3	236.267
CCCCCCCCCOC(=O)C1=CC=CC=C1OC(=O)C	69164094	InChI=1S/C18H26O4/c1-3-4-5-6-7-8-11-14-21-18(20)16-12-9-10-13-17(16)22-15(2)19/h9-10,12-13H,3-8,11,14H2,1-2H3	306.402
COC(=O)C1=C(C=CC=C1OC(=O)CCO)O	69127976	InChI=1S/C11H12O6/c1-16-11(15)10-7(13)3-2-4-8(10)17-9(14)5-6-12/h2-4,12-13H,5-6H2,1H3	240.211
COC(=O)C1=CC=CC=C1OC(=O)CCCO	69126727	InChI=1S/C12H14O5/c1-16-12(15)9-5-2-3-6-10(9)17-11(14)7-4-8-13/h2-3,5-6,13H,4,7-8H2,1H3	238.239
COC(=O)C1=CC=CC=C1OC(=O)CCCCCl	69126536	InChI=1S/C13H15ClO4/c1-17-13(16)10-6-2-3-7-11(10)18-12(15)8-4-5-9-14/h2-3,6-7H,4-5,8-9H2,1H3	270.709
COC(=O)C1=CC=CC=C1OC(=O)CCO	69126478	InChI=1S/C11H12O5/c1-15-11(14)8-4-2-3-5-9(8)16-10(13)6-7-12/h2-5,12H,6-7H2,1H3	224.212
COC(=O)C1=CC=CC=C1OC(=O)CCCl	69126311	InChI=1S/C11H11ClO4/c1-15-11(14)8-4-2-3-5-9(8)16-10(13)6-7-12/h2-5H,6-7H2,1H3	242.655
COC(=O)C1=CC=CC=C1OC(=O)CO	69125378	InChI=1S/C10H10O5/c1-14-10(13)7-4-2-3-5-8(7)15-9(12)6-11/h2-5,11H,6H2,1H3	210.185
COC(=O)C1=CC=CC=C1OC(=O)CCCCO	69125316	InChI=1S/C13H16O5/c1-17-13(16)10-6-2-3-7-11(10)18-12(15)8-4-5-9-14/h2-3,6-7,14H,4-5,8-9H2,1H3	252.266
CCOC(=O)CCCOC1=CC=CC=C1C(=O)OC.COC(=O)C1=CC=CC=C1O	69098842	InChI=1S/C14H18O5.C8H8O3/c1-3-18-13(15)9-6-10-19-12-8-5-4-7-11(12)14(16)17-2;1-11-8(10)6-4-2-3-5-7(6)9/h4-5,7-8H,3,6,9-10H2,1-2H3;2-5,9H,1H3	418.442
CC(=O)C1=C(C(=CC=C1)C(=O)O)OCC=C	69009503	InChI=1S/C12H12O4/c1-3-7-16-11-9(8(2)13)5-4-6-10(11)12(14)15/h3-6H,1,7H2,2H3,(H,14,15)	220.224
CC(=O)C(C=C)OC1=CC=CC=C1C(=O)O	69009500	InChI=1S/C12H12O4/c1-3-10(8(2)13)16-11-7-5-4-6-9(11)12(14)15/h3-7,10H,1H2,2H3,(H,14,15)/t10-/m0/s1	220.224
CC(O)OC1=CC=CC=C1C(=O)OC	69004065	InChI=1S/C10H12O4/c1-7(11)14-9-6-4-3-5-8(9)10(12)13-2/h3-7,11H,1-2H3/t7-/m0/s1	196.202
CCOC1=CC=CC=C1C(=O)OCC.CC(=O)O	68972294	InChI=1S/C11H14O3.C2H4O2/c1-3-13-10-8-6-5-7-9(10)11(12)14-4-2;1-2(3)4/h5-8H,3-4H2,1-2H3;1H3,(H,3,4)	254.282
CCCCCCCCCCCCOC1=CC=CC=C1C(=O)O.C1=CC=C(C=C1)C(=O)O	68862692	InChI=1S/C19H30O3.C7H6O2/c1-2-3-4-5-6-7-8-9-10-13-16-22-18-15-12-11-14-17(18)19(20)21;8-7(9)6-4-2-1-3-5-6/h11-12,14-15H,2-10,13,16H2,1H3,(H,20,21);1-5H,(H,8,9)	428.569
C1CCC(C1)(OC2=CC=CC=C2C(=O)O)OC(F)F	68846823	InChI=1S/C13H14F2O4/c14-12(15)19-13(7-3-4-8-13)18-10-6-2-1-5-9(10)11(16)17/h1-2,5-6,12H,3-4,7-8H2,(H,16,17)	272.248
C1CC1(OC2=CC=CC=C2C(=O)O)Cl	68842629	InChI=1S/C10H9ClO3/c11-10(5-6-10)14-8-4-2-1-3-7(8)9(12)13/h1-4H,5-6H2,(H,12,13)	212.629
CC(C)(C)OC(=O)C=CC1=CC(=C(C=C1)C(=O)O)OC	68840013	InChI=1S/C15H18O5/c1-15(2,3)20-13(16)8-6-10-5-7-11(14(17)18)12(9-10)19-4/h5-9H,1-4H3,(H,17,18)/b8-6+	278.304
COC1=C(C=CC(=C1)C=CC(=O)O)C(=O)O	68835680	InChI=1S/C11H10O5/c1-16-9-6-7(3-5-10(12)13)2-4-8(9)11(14)15/h2-6H,1H3,(H,12,13)(H,14,15)/b5-3+	222.196
CCCCCCCCOC1=CC=CC=C1C(=O)O.CCCCCCCCOC(=O)C1=CC=CC=C1O	68790344	InChI=1S/2C15H22O3/c1-2-3-4-5-6-9-12-18-14-11-8-7-10-13(14)15(16)17;1-2-3-4-5-6-9-12-18-15(17)13-10-7-8-11-14(13)16/h7-8,10-11H,2-6,9,12H2,1H3,(H,16,17);7-8,10-11,16H,2-6,9,12H2,1H3	500.676
C1=CC=C(C(=C1)C(=O)O)OCC(C(=O)O)O	68654456	InChI=1S/C10H10O6/c11-7(10(14)15)5-16-8-4-2-1-3-6(8)9(12)13/h1-4,7,11H,5H2,(H,12,13)(H,14,15)	226.184
COC(=O)C1=C(C=CC(=C1)O)OC(=O)C2=CC=CC=C2	68425035	InChI=1S/C15H12O5/c1-19-15(18)12-9-11(16)7-8-13(12)20-14(17)10-5-3-2-4-6-10/h2-9,16H,1H3	272.256
CCCCCCCOC1=CC=CC=C1C(=O)OCCCCCCC	68417810	InChI=1S/C21H34O3/c1-3-5-7-9-13-17-23-20-16-12-11-15-19(20)21(22)24-18-14-10-8-6-4-2/h11-12,15-16H,3-10,13-14,17-18H2,1-2H3	334.5
CCCCCCCCOC(=O)C1=CC=CC=C1OCC	68363445	InChI=1S/C17H26O3/c1-3-5-6-7-8-11-14-20-17(18)15-12-9-10-13-16(15)19-4-2/h9-10,12-13H,3-8,11,14H2,1-2H3	278.392
CCCCCOC(CC)C(=O)OC1=CC=CC=C1C(=O)O	68305975	InChI=1S/C16H22O5/c1-3-5-8-11-20-13(4-2)16(19)21-14-10-7-6-9-12(14)15(17)18/h6-7,9-10,13H,3-5,8,11H2,1-2H3,(H,17,18)	294.347
C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O.[Na].[Na]	68282266	InChI=1S/C14H10O5.2Na/c15-11-7-3-1-5-9(11)14(18)19-12-8-4-2-6-10(12)13(16)17;;/h1-8,15H,(H,16,17);;	304.209
C=CC(C(=O)O)OC1=CC=CC=C1C(=O)O	68149188	InChI=1S/C11H10O5/c1-2-8(11(14)15)16-9-6-4-3-5-7(9)10(12)13/h2-6,8H,1H2,(H,12,13)(H,14,15)	222.196
CC(=O)OC1=CC=CC=C1C(=O)O.[Na].[Ca]	68124612	InChI=1S/C9H8O4.Ca.Na/c1-6(10)13-8-5-3-2-4-7(8)9(11)12;;/h2-5H,1H3,(H,11,12);;	243.227
C=CC(O)OC1=CC=CC=C1C(=O)O	68114079	InChI=1S/C10H10O4/c1-2-9(11)14-8-6-4-3-5-7(8)10(12)13/h2-6,9,11H,1H2,(H,12,13)	194.186
CC(C)CCCCCCCCCCCCCOC1=CC=CC=C1C(=O)O	67982413	InChI=1S/C23H38O3/c1-20(2)16-12-10-8-6-4-3-5-7-9-11-15-19-26-22-18-14-13-17-21(22)23(24)25/h13-14,17-18,20H,3-12,15-16,19H2,1-2H3,(H,24,25)	362.554
CCCCC(CC)COC(CC)OC1=CC=CC=C1C(=O)O	67944962	InChI=1S/C18H28O4/c1-4-7-10-14(5-2)13-21-17(6-3)22-16-12-9-8-11-15(16)18(19)20/h8-9,11-12,14,17H,4-7,10,13H2,1-3H3,(H,19,20)	308.418
C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O.[K]	67910144	InChI=1S/C14H10O5.K/c15-11-7-3-1-5-9(11)14(18)19-12-8-4-2-6-10(12)13(16)17;/h1-8,15H,(H,16,17);	297.327
CC(=O)OC1=CC=CC=C1C(=O)C(C(=O)O)C(=O)O	67856771	InChI=1S/C12H10O7/c1-6(13)19-8-5-3-2-4-7(8)10(14)9(11(15)16)12(17)18/h2-5,9H,1H3,(H,15,16)(H,17,18)	266.205
CCCCCCCC(=O)OC1=CC=CC=C1C(=O)O.[Na]	67759847	InChI=1S/C15H20O4.Na/c1-2-3-4-5-6-11-14(16)19-13-10-8-7-9-12(13)15(17)18;/h7-10H,2-6,11H2,1H3,(H,17,18);	287.311
CCCCCCCC(=O)OC1=CC=CC=C1C(=O)[O-].[Na+]	67759843	InChI=1S/C15H20O4.Na/c1-2-3-4-5-6-11-14(16)19-13-10-8-7-9-12(13)15(17)18;/h7-10H,2-6,11H2,1H3,(H,17,18);/q;+1/p-1	286.303
CC(C)CCCCCCCCCCCCCCCOC1=CC=CC=C1C(=O)O	67708811	InChI=1S/C25H42O3/c1-22(2)18-14-12-10-8-6-4-3-5-7-9-11-13-17-21-28-24-20-16-15-19-23(24)25(26)27/h15-16,19-20,22H,3-14,17-18,21H2,1-2H3,(H,26,27)	390.608
CC(=O)OC1=C(C=CC(=C1)C(=O)O)C(=O)O	67702414	InChI=1S/C10H8O6/c1-5(11)16-8-4-6(9(12)13)2-3-7(8)10(14)15/h2-4H,1H3,(H,12,13)(H,14,15)	224.168
CCCCC=CC1=C(C(=CC=C1)C(=O)OC2=CC=CC=C2C(=O)O)O	67614760	InChI=1S/C20H20O5/c1-2-3-4-5-9-14-10-8-12-16(18(14)21)20(24)25-17-13-7-6-11-15(17)19(22)23/h5-13,21H,2-4H2,1H3,(H,22,23)	340.375
CCC1=CC(=C(C=C1)OCC)C(=O)O	67593993	InChI=1S/C11H14O3/c1-3-8-5-6-10(14-4-2)9(7-8)11(12)13/h5-7H,3-4H2,1-2H3,(H,12,13)	194.23
CC(C)(C)C(=O)OC1=C(C(=CC=C1)OC(=O)C(C)(C)C)C(=O)O	67574318	InChI=1S/C17H22O6/c1-16(2,3)14(20)22-10-8-7-9-11(12(10)13(18)19)23-15(21)17(4,5)6/h7-9H,1-6H3,(H,18,19)	322.357
CC1=CC=C(C=C1)OC2=CC=CC=C2C(=O)O.Br	67532957	InChI=1S/C14H12O3.BrH/c1-10-6-8-11(9-7-10)17-13-5-3-2-4-12(13)14(15)16;/h2-9H,1H3,(H,15,16);1H	309.159
CCC=CCCC1=CC=CC(=C1OC)C(=O)O	67527739	InChI=1S/C14H18O3/c1-3-4-5-6-8-11-9-7-10-12(14(15)16)13(11)17-2/h4-5,7,9-10H,3,6,8H2,1-2H3,(H,15,16)/b5-4-	234.295
CCCCC=CC1=C(C(=CC=C1)C(=O)O)OC	67527737	InChI=1S/C14H18O3/c1-3-4-5-6-8-11-9-7-10-12(14(15)16)13(11)17-2/h6-10H,3-5H2,1-2H3,(H,15,16)/b8-6+	234.295
CCCCOC(=O)C1=CC=CC=C1OC(=O)C=C	67515729	InChI=1S/C14H16O4/c1-3-5-10-17-14(16)11-8-6-7-9-12(11)18-13(15)4-2/h4,6-9H,2-3,5,10H2,1H3	248.278
CC(CC1CCCCC1)(OC)OC2=CC=CC=C2C(=O)O	67486478	InChI=1S/C17H24O4/c1-17(20-2,12-13-8-4-3-5-9-13)21-15-11-7-6-10-14(15)16(18)19/h6-7,10-11,13H,3-5,8-9,12H2,1-2H3,(H,18,19)/t17-/m0/s1	292.375
CC(=CC(CCOC1=CC=CC=C1C(=O)O)OC2=CC=CC=C2C(=O)O)C(=O)O	67419300	InChI=1S/C21H20O8/c1-13(19(22)23)12-14(29-18-9-5-3-7-16(18)21(26)27)10-11-28-17-8-4-2-6-15(17)20(24)25/h2-9,12,14H,10-11H2,1H3,(H,22,23)(H,24,25)(H,26,27)	400.383
CC1=CC=CC(=C1O)C(=O)OC2=CC=CC=C2C(=O)OC	67401592	InChI=1S/C16H14O5/c1-10-6-5-8-12(14(10)17)16(19)21-13-9-4-3-7-11(13)15(18)20-2/h3-9,17H,1-2H3	286.283
